dYear,est,ist,imf_by,em,f107,dst
2023.7563926940638,-14.0,-6.0,5.7,1.124331,147.64197,-20.0
2023.756506849315,-13.3,-5.7,1.3,1.457122,147.64197,-19.0
2023.7566210045661,-16.1,-6.9,7.9,1.393635,147.64197,-23.0
2023.7567351598173,-14.7,-6.3,8.2,1.676468,147.64197,-21.0
2023.7568493150684,-14.0,-6.0,6.4,2.2784,147.64197,-20.0
2023.7569634703195,-16.1,-6.9,6.4,1.224196,147.64197,-23.0
2023.7570776255707,-12.6,-5.4,6.3,1.745941,147.64197,-18.0
2023.7571917808218,-12.6,-5.4,5.0,2.017607,147.64197,-18.0
2023.757305936073,-18.9,-8.1,2.8,1.590617,147.64197,-27.0
2023.757420091324,-22.4,-9.6,2.2,1.408835,147.64197,-32.0
2023.7575342465752,-23.1,-9.9,5.0,1.133876,147.64197,-33.0
2023.7576484018264,-20.3,-8.7,5.7,1.18737,147.64197,-29.0
2023.7577625570775,-18.2,-7.8,6.6,1.052453,147.64197,-26.0
2023.7578767123289,-14.0,-6.0,5.8,1.304865,147.64197,-20.0
2023.75799086758,-12.6,-5.4,6.1,1.128287,147.64197,-18.0
2023.7581050228312,-11.9,-5.1,5.9,1.265183,147.64197,-17.0
2023.7582191780823,-11.2,-4.8,7.3,1.057949,147.64197,-16.0
2023.7583333333334,-9.8,-4.2,2.9,2.406967,147.64197,-14.0
2023.7584474885846,-14.7,-6.3,4.0,1.995,147.64197,-21.0
2023.7585616438357,-18.2,-7.8,7.1,1.4555,147.64197,-26.0
2023.7586757990869,-15.4,-6.6,5.1,1.351994,147.64197,-22.0
2023.758789954338,-11.2,-4.8,3.8,1.333423,147.64197,-16.0
2023.7589041095891,-14.0,-6.0,-0.3,2.862333,147.45679,-20.0
2023.7590182648403,-25.2,-10.8,1.5,2.6793,147.45679,-36.0
2023.7591324200914,-33.6,-14.4,3.9,1.563117,147.45679,-48.0
2023.7592465753426,-29.4,-12.6,1.5,2.038692,147.45679,-42.0
2023.7593607305937,-25.9,-11.1,-2.3,0.886044,147.45679,-37.0
2023.7594748858448,-26.6,-11.4,-4.0,1.270248,147.45679,-38.0
2023.759589041096,-24.5,-10.5,-3.8,1.248804,147.45679,-35.0
2023.7597031963471,-21.7,-9.3,-1.3,1.54438,147.45679,-31.0
2023.7598173515983,-25.2,-10.8,2.7,1.259992,147.45679,-36.0
2023.7599315068494,-25.9,-11.1,1.4,1.288312,147.45679,-37.0
2023.7600456621005,-20.3,-8.7,0.5,0.252889,147.45679,-29.0
2023.7601598173517,-18.2,-7.8,-0.2,1.383969,147.45679,-26.0
2023.7602739726028,-19.6,-8.4,1.5,0.109096,147.45679,-28.0
2023.760388127854,-20.3,-8.7,3.6,0.514692,147.45679,-29.0
2023.760502283105,-16.8,-7.2,2.6,0.360993,147.45679,-24.0
2023.7606164383562,-15.4,-6.6,2.5,0.356289,147.45679,-22.0
2023.7607305936074,-14.7,-6.3,3.3,0.767892,147.45679,-21.0
2023.7608447488585,-12.6,-5.4,2.7,0.731001,147.45679,-18.0
2023.7609589041097,-11.9,-5.1,3.6,0.611289,147.45679,-17.0
2023.7610730593608,-14.0,-6.0,1.9,0.108745,147.45679,-20.0
2023.761187214612,-13.3,-5.7,2.4,0.222754,147.45679,-19.0
2023.761301369863,-9.8,-4.2,1.7,0.662825,147.45679,-14.0
2023.7614155251142,-7.0,-3.0,0.6,0.034419,147.45679,-10.0
2023.7615296803654,-4.9,-2.1,-0.5,0.042631,147.45679,-7.0
2023.7616438356165,-4.9,-2.1,-1.3,0.636267,147.20987,-7.0
2023.7617579908676,-7.7,-3.3,4.2,0.730994,147.20987,-11.0
2023.7618721461188,-11.9,-5.1,-0.9,0.060268,147.20987,-17.0
2023.76198630137,-11.9,-5.1,1.8,0.131212,147.20987,-17.0
2023.762100456621,-9.1,-3.9,3.2,1.167573,147.20987,-13.0
2023.7622146118722,-6.3,-2.7,2.2,0.865659,147.20987,-9.0
2023.7623287671233,-2.8,-1.2,2.7,0.225349,147.20987,-4.0
2023.7624429223745,-2.1,-0.9,0.7,0.012227,147.20987,-3.0
2023.7625570776256,-0.7,-0.3,-0.6,0.010652,147.20987,-1.0
2023.7626712328768,-1.4,-0.6,-0.7,0.321893,147.20987,-2.0
2023.762785388128,-7.0,-3.0,-1.4,0.05325,147.20987,-10.0
2023.762899543379,-5.6,-2.4,-3.7,0.350629,147.20987,-8.0
2023.7630136986302,-4.9,-2.1,-4.2,0.706232,147.20987,-7.0
2023.7631278538813,-5.6,-2.4,1.0,0.680372,147.20987,-8.0
2023.7632420091325,-7.0,-3.0,3.6,1.0746,147.20987,-10.0
2023.7633561643836,-8.4,-3.6,-0.3,0.010853,147.20987,-12.0
2023.7634703196347,-8.4,-3.6,6.9,1.206362,147.20987,-12.0
2023.7635844748859,-7.7,-3.3,6.3,0.870014,147.20987,-11.0
2023.763698630137,-6.3,-2.7,6.5,0.9806,147.20987,-9.0
2023.7638127853882,-7.7,-3.3,6.6,0.973736,147.20987,-11.0
2023.7639269406393,-4.2,-1.8,6.2,0.971395,147.20987,-6.0
2023.7640410958904,2.1,0.9,2.5,0.39863,147.20987,3.0
2023.7641552511416,-0.7,-0.3,6.0,0.821361,147.20987,-1.0
2023.7642694063927,-0.7,-0.3,5.8,0.929456,147.20987,-1.0
2023.7643835616439,-3.5,-1.5,5.3,0.83475,146.91357,-5.0
2023.764497716895,-6.3,-2.7,4.5,0.667808,146.91357,-9.0
2023.7646118721461,-10.5,-4.5,4.9,0.579008,146.91357,-15.0
2023.7647260273973,-12.6,-5.4,4.7,0.473955,146.91357,-18.0
2023.7648401826484,-9.1,-3.9,4.2,0.373567,146.91357,-13.0
